COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch),X_coord,Y_coord,ABUNDANCE
York,2025-04-17,OSSIPEE R (LITTLE),Limington,BROOK TROUT,200,10,-70.67844191484247,43.71970119964218,
Cumberland,2025-04-17,PISCATAQUA R,Falmouth,BROOK TROUT,150,10,-70.29942618794348,43.75182273650571,
Cumberland,2025-04-17,MILL B,Westbrook,BROOK TROUT,150,10,-70.35199411821263,43.725060684530845,
York,2025-04-17,UNNAMED B,York,BROOK TROUT,100,10,-70.6559819629,43.1264760228,
Cumberland,2025-04-17,TRICKEY P,Naples,SPLAKE,800,9,-70.6076290921,43.9403673838,
Cumberland,2025-04-17,LITTLE R,Gorham,BROOK TROUT,150,10,-70.43077021380056,43.712056024405555,
York,2025-04-17,OSSIPEE R (LITTLE),Newfield,BROOK TROUT,100,10,-70.85559304998931,43.64716487372937,
York,2025-04-17,MERRILAND R,Wells,BROOK TROUT,150,10,-70.58378166179305,43.34941552530056,
York,2025-04-17,KENNEBUNK R,Kennebunk,BROOK TROUT,150,10,-70.57458821044055,43.44800996892228,
York,2025-04-17,MERRILAND R,Wells,BROOK TROUT,150,10,-70.58378166179305,43.34941552530056,
York,2025-04-17,KENNEBUNK R,Kennebunk,BROOK TROUT,150,10,-70.57458821044055,43.44800996892228,
York,2025-04-17,KENNEBUNK R,Kennebunk,BROOK TROUT,100,10,-70.57458821044055,43.44800996892228,
York,2025-04-17,WARD B,Kennebunk,BROOK TROUT,150,10,-70.6482262375,43.5048886909,
York,2025-04-17,KENNEBUNK R,Kennebunk,BROOK TROUT,100,10,-70.57458821044055,43.44800996892228,
York,2025-04-17,OSSIPEE R (LITTLE),Limerick,BROOK TROUT,150,10,-70.78077821064488,43.65772838122113,
York,2025-04-17,OSSIPEE R (LITTLE),Shapleigh,BROOK TROUT,100,10,-70.8327794581,43.6094498091,
Cumberland,2025-04-17,SONGO R,Casco,BROOK TROUT,300,10,-70.5745032788899,43.93073094035069,
York,2025-04-17,OSSIPEE R (LITTLE),Limerick,BROOK TROUT,200,10,-70.78077821064488,43.65772838122113,
Cumberland,2025-04-17,PISCATAQUA R,Cumberland,BROOK TROUT,150,10,-70.31238227475706,43.796087584599505,
Cumberland,2025-04-17,LITTLE R,Gorham,BROOK TROUT,150,10,-70.43077021380056,43.712056024405555,
Cumberland,2025-04-17,LITTLE R (NORTH BRANCH),Gorham,BROOK TROUT,100,10,-70.50874859448763,43.74247097448363,
Cumberland,2025-04-17,LITTLE R,Gorham,BROOK TROUT,150,10,-70.43077021380056,43.712056024405555,
Cumberland,2025-04-17,LITTLE R,Gorham,BROOK TROUT,100,10,-70.43077021380056,43.712056024405555,
Cumberland,2025-04-17,BEAVER P,Westbrook,BROOK TROUT,200,10,-70.3641689388,43.6735137498,
York,2025-04-17,OSSIPEE R (LITTLE),Limerick,BROOK TROUT,125,10,-70.78077821064488,43.65772838122113,
Oxford,2025-04-18,ANDROSCOGGIN R (LITTLE),West Paris,BROOK TROUT,200,10,-70.57522696194887,44.322778613418755,
Androscoggin,2025-04-18,STETSON B,Lewiston,BROOK TROUT,150,10,-69.1239385457,44.8383037989,
Oxford,2025-04-18,ANDROSCOGGIN R (LITTLE),Greenwood,BROOK TROUT,200,10,-70.62557946193832,44.33356145672643,
Oxford,2025-04-18,ANDROSCOGGIN R (LITTLE),West Paris,BROOK TROUT,200,10,-70.57522696194887,44.322778613418755,
Androscoggin,2025-04-18,BASIN B,Auburn,BROOK TROUT,300,10,-70.2863027018,44.1846892967,
Oxford,2025-04-18,ANDROSCOGGIN R (LITTLE),West Paris,BROOK TROUT,200,10,-70.57522696194887,44.322778613418755,
Oxford,2025-04-18,ANDROSCOGGIN R (LITTLE),Greenwood,BROOK TROUT,200,10,-70.62557946193832,44.33356145672643,
York,2025-04-19,BATSON R,Kennebunkport,BROOK TROUT,200,10,-70.45107013037256,43.400421514359664,
Cumberland,2025-04-22,PINELAND P,New Gloucester,BROOK TROUT,200,10,-70.2532093125,43.9022477538,
York,2025-04-22,GREAT WORKS R,South Berwick,BROOK TROUT,100,10,-70.7648528622,43.2567163946,
York,2025-04-22,GREAT WORKS R,North Berwick,BROOK TROUT,100,10,-70.76723607912768,43.24744517324884,
York,2025-04-22,GREAT WORKS R,North Berwick,BROOK TROUT,150,10,-70.76723607912768,43.24744517324884,
York,2025-04-22,GREAT WORKS R,North Berwick,BROOK TROUT,150,10,-70.76723607912768,43.24744517324884,
York,2025-04-22,GREAT WORKS R,Sanford,BROOK TROUT,200,10,-70.78030306991953,43.428371938801774,
York,2025-04-22,KENNEBUNK P,Lyman,BROOK TROUT,500,10,-70.6482262375,43.5048886909,
York,2025-04-22,TOWN OFFICE (MEMORIAL) P,Hollis,BROOK TROUT,100,10,-70.600038377,43.6384467384,
Cumberland,2025-04-22,OTTER P #2,Standish,BROOK TROUT,200,10,-70.5118583489,43.7631873001,
Cumberland,2025-04-22,OTTER P #4,Standish,BROOK TROUT,100,10,-70.5118583489,43.7631873001,
York,2025-04-22,GREAT B,Lebanon,BROOK TROUT,100,10,-70.93101411152989,43.39918584271523,
York,2025-04-22,ROUND P,Lyman,BROOK TROUT,200,10,-70.5889734762,43.5155080834,
Cumberland,2025-04-23,STEVENS B,Bridgton,BROOK TROUT,100,9,-70.686362784,43.966052611,
Cumberland,2025-04-23,SACO R,Standish,BROOK TROUT,200,10,-70.65293602526646,43.73234720712602,
York,2025-04-23,SACO R,Buxton,BROOK TROUT,500,10,-70.57572184498663,43.61741361746786,
Androscoggin,2025-04-23,ANDROSCOGGIN R (LITTLE),Auburn,BROWN TROUT,200,8,-70.23938085682464,44.07143328372705,
Androscoggin,2025-04-23,ANDROSCOGGIN R (LITTLE),Auburn,BROWN TROUT,200,8,-70.23938085682464,44.07143328372705,
Oxford,2025-04-23,ANDROSCOGGIN R (LITTLE),Oxford,BROWN TROUT,200,8,-70.46120318543788,44.133064570342775,
Androscoggin,2025-04-23,ANDROSCOGGIN R (LITTLE),Minot,BROWN TROUT,225,8,-70.39190020460279,44.14222712186505,
Androscoggin,2025-04-23,ANDROSCOGGIN R (LITTLE),Minot,BROWN TROUT,300,8,-70.39190020460279,44.14222712186505,
Androscoggin,2025-04-23,ANDROSCOGGIN R (LITTLE),Mechanic Falls,BROWN TROUT,300,8,-70.41648328641564,44.11055780683758,
Oxford,2025-04-23,SACO R,Hiram,BROOK TROUT,200,10,-70.8143936637728,43.88947349816913,
Cumberland,2025-04-23,JORDAN R,Raymond,BROOK TROUT,300,9,-70.46205177119016,43.89688671354856,
Oxford,2025-04-23,PENNESSEEWASSEE L OUTLET,Norway,BROOK TROUT,100,9,-70.5829333058,44.2302832706,
Cumberland,2025-04-23,COFFIN P,Brunswick,BROOK TROUT,100,10,-69.957519278,43.8974188891,
Androscoggin,2025-04-23,BEAVER PARK P #3,Lisbon,BROOK TROUT,100,10,-70.1318739294,44.027780521,
Androscoggin,2025-04-23,BEAVER PARK P #2,Lisbon,BROOK TROUT,100,10,-70.1304425675,44.0298705242,
Cumberland,2025-04-23,STEVENS B,Bridgton,BROOK TROUT,100,9,-70.686362784,43.966052611,
Androscoggin,2025-04-23,MEADOW B,Durham,BROOK TROUT,100,10,-70.06921107679881,43.97500115343845,
Androscoggin,2025-04-23,NEWELL B,Durham,BROOK TROUT,150,10,-70.10090046124239,43.98564952749467,
Androscoggin,2025-04-23,ANDROSCOGGIN R,Lisbon,BROOK TROUT,300,10,-70.09269781565973,44.00985570155133,
York,2025-04-23,SACO R,Dayton,BROOK TROUT,200,10,-70.54023761402428,43.54992803179362,
Cumberland,2025-04-23,STEVENS B,Bridgton,BROOK TROUT,100,9,-70.686362784,43.966052611,
Oxford,2025-04-23,SACO R,Fryeburg,BROOK TROUT,150,10,-70.9205172663267,43.98486670984334,
Cumberland,2025-04-23,STEVENS B,Bridgton,BROOK TROUT,100,9,-70.686362784,43.966052611,
Androscoggin,2025-04-24,ANDROSCOGGIN R (LITTLE),Minot,RAINBOW TROUT,300,11,-70.39190020460279,44.14222712186505,
Cumberland,2025-04-24,WILLETT B,Bridgton,BROWN TROUT,200,8,-70.7383533774,44.0798644579,
Oxford,2025-04-24,CLEMONS P (LITTLE),Hiram,BROOK TROUT,150,10,-70.8849992353,43.8654817215,
York,2025-04-24,SOUTH R,Parsonsfield,BROOK TROUT,150,10,-70.95902942503761,43.78541514629868,
Oxford,2025-04-24,OSSIPEE R,Hiram,BROOK TROUT,235,10,-70.84331903665728,43.808696620772274,
Oxford,2025-04-24,OSSIPEE R,Hiram,BROOK TROUT,235,10,-70.84331903665728,43.808696620772274,
Oxford,2025-04-24,ANDROSCOGGIN R (LITTLE),Oxford,RAINBOW TROUT,275,11,-70.46120318543788,44.133064570342775,
Androscoggin,2025-04-24,ANDROSCOGGIN R (LITTLE),Auburn,RAINBOW TROUT,275,11,-70.23938085682464,44.07143328372705,
Androscoggin,2025-04-24,ANDROSCOGGIN R (LITTLE),Auburn,RAINBOW TROUT,275,11,-70.23938085682464,44.07143328372705,
Androscoggin,2025-04-24,ANDROSCOGGIN R (LITTLE),Mechanic Falls,RAINBOW TROUT,375,11,-70.41648328641564,44.11055780683758,
York,2025-04-24,PENDEXTER B,Parsonsfield,BROOK TROUT,150,10,-70.91293170731518,43.71645270524591,
Cumberland,2025-04-24,NORTHWEST R,Sebago,BROOK TROUT,100,9,-70.69029351587949,43.92654586338011,
Cumberland,2025-04-24,STEVENS B,Bridgton,BROWN TROUT,150,8,-70.686362784,43.966052611,
Cumberland,2025-04-24,STEVENS B,Bridgton,BROWN TROUT,300,8,-70.686362784,43.966052611,
Cumberland,2025-04-24,MUDDY R,Naples,BROOK TROUT,150,9,-70.64133986122727,43.96165264808945,
Cumberland,2025-04-24,STEVENS B,Bridgton,BROWN TROUT,300,8,-70.686362784,43.966052611,
Cumberland,2025-04-24,STEVENS B,Bridgton,BROWN TROUT,300,8,-70.686362784,43.966052611,
Androscoggin,2025-04-24,ANDROSCOGGIN R (LITTLE),Minot,RAINBOW TROUT,375,11,-70.39190020460279,44.14222712186505,
Cumberland,2025-04-24,WILLETT B,Bridgton,BROWN TROUT,200,8,-70.7383533774,44.0798644579,
Oxford,2025-04-25,GREELEY B,Oxford,BROOK TROUT,150,9,-70.4578995761,44.1015955023,
Oxford,2025-04-25,GREELEY B,Otisfield,BROOK TROUT,150,9,-70.5405962481631,44.14538516148043,
Oxford,2025-04-25,CLAYS P OUTLET,Fryeburg,BROOK TROUT,250,10,-70.94864569703094,43.97627077873464,
Oxford,2025-04-25,CLAYS P,Fryeburg,BROOK TROUT,300,9,-70.9539777201,43.9823484734,
Oxford,2025-04-25,CHAPMAN P,Porter,BROOK TROUT,150,9,-70.9062901481,43.8379916558,
Cumberland,2025-04-26,PRESUMPSCOT R,Windham,BROOK TROUT,100,10,-70.41072422739504,43.7172514296907,
Cumberland,2025-04-26,PRESUMPSCOT R,Windham,BROOK TROUT,100,10,-70.41072422739504,43.7172514296907,
Cumberland,2025-04-29,MILL B,Westbrook,BROOK TROUT,150,10,-70.35199411821263,43.725060684530845,
Cumberland,2025-04-29,PLEASANT R,Windham,BROOK TROUT,150,10,-70.44757621457344,43.75779293208213,
Cumberland,2025-04-29,PLEASANT R,Windham,BROOK TROUT,100,10,-70.44757621457344,43.75779293208213,
Cumberland,2025-04-29,PLEASANT R,Windham,BROOK TROUT,100,10,-70.44757621457344,43.75779293208213,
Cumberland,2025-04-29,COLLYER B,Gray,BROOK TROUT,300,10,-70.30271268141354,43.90590672232054,
Cumberland,2025-04-29,ALDEN'S P,Gorham,BROOK TROUT,100,10,-70.45407311263993,43.68225164153582,
York,2025-04-29,HORNE (PEQUAWKET) P,Limington,BROOK TROUT,400,10,-70.6848693219,43.7743599727,
York,2025-04-29,ISINGLASS P,Waterboro,BROOK TROUT,200,10,-70.6918641034,43.6692018657,
Cumberland,2025-04-29,COLLYER B,Gray,BROOK TROUT,300,10,-70.30271268141354,43.90590672232054,
Cumberland,2025-04-29,COLLYER B,Gray,BROOK TROUT,300,10,-70.30271268141354,43.90590672232054,
Cumberland,2025-04-29,PLEASANT R,Windham,BROOK TROUT,150,10,-70.44757621457344,43.75779293208213,
York,2025-04-30,OGUNQUIT R,Wells,BROOK TROUT,100,10,-70.64612336217733,43.26421270385303,
York,2025-04-30,GREAT WORKS R,North Berwick,BROOK TROUT,100,10,-70.76723607912768,43.24744517324884,
York,2025-04-30,GREAT WORKS R,North Berwick,BROOK TROUT,150,10,-70.76723607912768,43.24744517324884,
York,2025-04-30,GREEN B,Wells,BROOK TROUT,100,10,-70.64992290513645,43.27993113636784,
York,2025-04-30,SMELT B,York,BROOK TROUT,100,10,-70.73245499360992,43.183388909035074,
York,2025-04-30,OGUNQUIT R,Wells,BROOK TROUT,100,10,-70.64612336217733,43.26421270385303,
York,2025-04-30,OGUNQUIT R,Wells,BROOK TROUT,100,10,-70.64612336217733,43.26421270385303,
York,2025-04-30,YORK R,Eliot,BROOK TROUT,200,10,-70.767306452,43.1881653656,
York,2025-04-30,MERRILAND R,Wells,BROOK TROUT,150,10,-70.58378166179305,43.34941552530056,
York,2025-04-30,GREAT WORKS R,North Berwick,BROOK TROUT,150,10,-70.76723607912768,43.24744517324884,
York,2025-04-30,GREAT WORKS R,Sanford,BROOK TROUT,200,10,-70.78030306991953,43.428371938801774,
York,2025-04-30,WEST B,Wells,BROOK TROUT,150,10,-70.68987804975944,43.32901870016431,
York,2025-04-30,MERRILAND R,Wells,BROOK TROUT,150,10,-70.58378166179305,43.34941552530056,
York,2025-04-30,JOSIAS R,York,BROOK TROUT,75,10,-70.62249347402832,43.226682824567135,
York,2025-04-30,JOSIAS R,York,BROOK TROUT,75,10,-70.62249347402832,43.226682824567135,
York,2025-05-01,MILLIKEN MILLS P,Old Orchard Beach,BROOK TROUT,200,10,-70.3946887008,43.5433993925,
Oxford,2025-05-01,TWITCHELL B,Greenwood,BROWN TROUT,300,9,-70.6811625079,44.3580899525,
Oxford,2025-05-01,NORTH P,Woodstock,BROWN TROUT,275,9,-70.6764434405,44.4061251993,
Oxford,2025-05-01,TWITCHELL B,Greenwood,BROWN TROUT,300,9,-70.6811625079,44.3580899525,
York,2025-05-01,CASCADE FALLS B,Saco,BROOK TROUT,100,10,-70.40732107546476,43.54389939924723,
Oxford,2025-05-01,HALLS P,Paris,BROWN TROUT,50,9,-70.4571823251,44.2184173478,
Oxford,2025-05-01,NEZINSCOT R (EAST BRANCH),Buckfield,BROWN TROUT,500,9,-70.36185715266251,44.30716290444359,
Oxford,2025-05-01,NEZINSCOT R (WEST BRANCH),Buckfield,BROWN TROUT,500,8,-70.3750538888642,44.28825431820364,
York,2025-05-01,NONESUCH R,Saco,BROOK TROUT,100,10,-70.39075235344052,43.5534171749979,
Oxford,2025-05-01,NEZINSCOT R (WEST BRANCH),Buckfield,BROWN TROUT,500,8,-70.3750538888642,44.28825431820364,
York,2025-05-01,OSSIPEE L (LITTLE),Waterboro,RAINBOW TROUT,2800,11,-70.6991765857,43.6113335466,
Oxford,2025-05-01,SACO R,Fryeburg,BROOK TROUT,150,10,-70.9205172663267,43.98486670984334,
Androscoggin,2025-05-01,ROYAL R,Auburn,BROOK TROUT,100,10,-70.2604662186373,44.00676908685673,
York,2025-05-01,CASCADE FALLS B,Saco,BROOK TROUT,100,10,-70.40732107546476,43.54389939924723,
Cumberland,2025-05-01,ROYAL R,New Gloucester,BROOK TROUT,200,10,-70.3167292785,43.9827134057,
York,2025-05-01,SACO R,Buxton,BROOK TROUT,200,10,-70.57572184498663,43.61741361746786,
Cumberland,2025-05-01,ROYAL R,Yarmouth,BROOK TROUT,100,10,-70.18035592386957,43.80101591129432,
Androscoggin,2025-05-01,ROYAL R,Auburn,BROOK TROUT,100,10,-70.2604662186373,44.00676908685673,
Cumberland,2025-05-01,ROYAL R,Yarmouth,BROOK TROUT,100,10,-70.18035592386957,43.80101591129432,
Cumberland,2025-05-01,SACO R,Standish,BROOK TROUT,200,10,-70.65293602526646,43.73234720712602,
Oxford,2025-05-01,SACO R,Hiram,BROOK TROUT,200,10,-70.8143936637728,43.88947349816913,
Cumberland,2025-05-01,ROYAL R,New Gloucester,BROOK TROUT,100,10,-70.3167292785,43.9827134057,
Cumberland,2025-05-01,PRESUMPSCOT R,Windham,BROOK TROUT,100,10,-70.41072422739504,43.7172514296907,
Cumberland,2025-05-01,PRESUMPSCOT R,Windham,BROOK TROUT,100,10,-70.41072422739504,43.7172514296907,
York,2025-05-01,SACO R,Dayton,BROOK TROUT,200,10,-70.54023761402428,43.54992803179362,
Oxford,2025-05-02,NEZINSCOT R (WEST BRANCH),Buckfield,BROWN TROUT,500,8,-70.3750538888642,44.28825431820364,
Oxford,2025-05-02,NEZINSCOT R (EAST BRANCH),Sumner,BROOK TROUT,250,10,-70.39693579676286,44.402269186483835,
Oxford,2025-05-02,NEZINSCOT R (EAST BRANCH),Peru,BROOK TROUT,250,10,-70.42813802215395,44.429240089367156,
Oxford,2025-05-02,ANDROSCOGGIN R (LITTLE),West Paris,BROOK TROUT,200,10,-70.57522696194887,44.322778613418755,
Oxford,2025-05-02,ANDROSCOGGIN R (LITTLE),West Paris,BROOK TROUT,200,10,-70.57522696194887,44.322778613418755,
Oxford,2025-05-02,ANDROSCOGGIN R (LITTLE),Greenwood,BROOK TROUT,200,10,-70.62557946193832,44.33356145672643,
Oxford,2025-05-02,ANDROSCOGGIN R (LITTLE),Greenwood,BROOK TROUT,200,10,-70.62557946193832,44.33356145672643,
Cumberland,2025-05-02,PINELAND P,New Gloucester,BROOK TROUT,150,10,-70.2532093125,43.9022477538,
Oxford,2025-05-02,NEZINSCOT R (EAST BRANCH),Sumner,BROOK TROUT,250,10,-70.39693579676286,44.402269186483835,
Oxford,2025-05-02,NEZINSCOT R (EAST BRANCH),Hartford,BROWN TROUT,500,8,-70.38253125205846,44.368677678570656,
Oxford,2025-05-02,NEZINSCOT R (WEST BRANCH),Buckfield,BROWN TROUT,500,8,-70.3750538888642,44.28825431820364,
Oxford,2025-05-02,NEZINSCOT R (EAST BRANCH),Hartford,BROWN TROUT,500,8,-70.38253125205846,44.368677678570656,
Oxford,2025-05-02,LOVEWELL P,Fryeburg,BROWN TROUT,1100,8,-70.9313897566,44.0055727169,
York,2025-05-02,LITTLE R,Buxton,BROOK TROUT,300,10,-70.53623384518002,43.67019714053042,
York,2025-05-02,LITTLE R,Buxton,BROOK TROUT,200,10,-70.53623384518002,43.67019714053042,
York,2025-05-02,LITTLE R,Buxton,BROOK TROUT,200,10,-70.53623384518002,43.67019714053042,
York,2025-05-02,LITTLE R,Buxton,BROOK TROUT,250,10,-70.53623384518002,43.67019714053042,
Oxford,2025-05-02,ANDROSCOGGIN R (LITTLE),West Paris,BROOK TROUT,200,10,-70.57522696194887,44.322778613418755,
Oxford,2025-05-02,NEZINSCOT R (EAST BRANCH),Hartford,BROWN TROUT,500,8,-70.38253125205846,44.368677678570656,
Oxford,2025-05-02,OSSIPEE R,Hiram,BROWN TROUT,670,10,-70.84331903665728,43.808696620772274,
York,2025-05-06,LITTLE R,Berwick,BROOK TROUT,200,10,-70.87472329147802,43.3171919488783,
Oxford,2025-05-06,OSSIPEE R,Hiram,BROOK TROUT,235,10,-70.84331903665728,43.808696620772274,
Oxford,2025-05-06,OSSIPEE R,Hiram,BROOK TROUT,235,10,-70.84331903665728,43.808696620772274,
York,2025-05-06,SOUTH R,Parsonsfield,BROOK TROUT,150,10,-70.95902942503761,43.78541514629868,
York,2025-05-06,LITTLE R,Berwick,BROOK TROUT,150,10,-70.87472329147802,43.3171919488783,
York,2025-05-06,OSSIPEE R (LITTLE),Shapleigh,BROOK TROUT,100,10,-70.8327794581,43.6094498091,
York,2025-05-06,OSSIPEE R (LITTLE),Limerick,BROOK TROUT,125,10,-70.78077821064488,43.65772838122113,
York,2025-05-06,OSSIPEE R (LITTLE),Newfield,BROOK TROUT,100,10,-70.85559304998931,43.64716487372937,
York,2025-05-06,LITTLE R,Berwick,BROOK TROUT,150,10,-70.87472329147802,43.3171919488783,
York,2025-05-06,OSSIPEE R (LITTLE),Limerick,BROOK TROUT,150,10,-70.78077821064488,43.65772838122113,
York,2025-05-06,MOUSAM R,Sanford,BROOK TROUT,100,10,-70.67967592793332,43.426169662755875,
York,2025-05-06,MOUSAM R,Sanford,BROOK TROUT,100,10,-70.67967592793332,43.426169662755875,
